#separator:tab
#html:true
#notetype:Basic
#deck:Python::Python Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `is` checks identity (same object)</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`==` checks value equality.</div>	domain::python course::python_fundamentals section::ch_1_python_basics_environment
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `slice(start, stop, step)` — created implicitly by `seq[1:5:2]`. Can be named and reused: `s = slice(1, 5, 2)</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">seq[s]`.</div>	domain::python course::python_fundamentals section::ch_2_sequences_lists_tuples_slicing
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `list(dict.fromkeys(items))` — Python 3.7+ dict preserves insertion order, `fromkeys` drops duplicates. For non-hashable items, use a set-based generator: `seen = set()</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">[x for x in items if not (x in seen or seen.add(x))]`. [Source: PEP 468 for ordered dict, docs.python.org/3/library/stdtypes.html#dict.fromkeys]</div>	domain::python course::python_fundamentals section::ch_3_dicts_sets_mapping_structures
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `str` — immutable Unicode code points. `bytes` — immutable sequence of ints 0–255. `bytearray` — mutable bytes. `b"AB"[0]` → `65` (int)</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`"AB"[0]` → `"A"`.</div>	domain::python course::python_fundamentals section::ch_4_strings_bytes_text_processing
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: `match` anchors at the start of the string</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">`search` scans anywhere. Use `search` (or `fullmatch` for whole-string) in most cases.</div>	domain::python course::python_fundamentals section::ch_4_strings_bytes_text_processing
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: Name resolution order: Local → Enclosing → Global → Built-in. Assignment in a function makes a name local</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">reading falls back outward.</div>	domain::python course::python_fundamentals section::ch_5_functions_scope_closures
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">A: Default ~1000 (`sys.getrecursionlimit()`). Exceeding it raises `RecursionError`. Always have a base case</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">prefer iteration for deep recursion.</div>	domain::python course::python_fundamentals section::ch_5_functions_scope_closures
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's the syntax for a list comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">[expr for item in iterable if condition]</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">How to flatten a 2D list with a list comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">[x for row in matrix for x in row] -- outer loop first, inner loop second.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's a dict comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">{key_expr: value_expr for item in iterable if condition} -- e.g., {w: len(w) for w in words}</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">What's a set comprehension?</div>	<div dir="ltr" style="text-align:left;font-family:monospace,sans-serif">{expr for item in iterable if condition} -- e.g., {len(w) for w in words} gives unique lengths.</div>	domain::python course::python_fundamentals section::ch_6_comprehensions_lambda_functional
