#separator:tab
#html:true
#notetype:Basic
#deck:Python فارسی::Python Fundamentals
#tags column:3
#columns:Front	Back	Tags
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">A: `slice(start, stop, step)` — به طور ضمنی توسط `seq[1:5:2]` ساخته می‌شه. می‌شه نام‌گذاری و استفاده مجدد کرد: `s = slice(1, 5, 2)</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">seq[s]`.</div>	domain::python course::python_fundamentals section::فصل_۲_دنباله_ها،_لیست_ها،_تاپل_ها_و_slicing
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">سینتکس list comprehension چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">[expr for item in iterable if condition]</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور لیست ۲ بعدی رو با list comprehension صاف (flatten) کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">[x for row in matrix for x in row] — حلقه بیرونی اول، درونی دوم.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">dict comprehension چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">{key_expr: value_expr for item in iterable if condition} — مثل {w: len(w) for w in words}</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">set comprehension چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">{expr for item in iterable if condition} — مثل {len(w) for w in words} طول‌های منحصر‌به‌فرد.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت list comprehension و generator expression؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">List comprehension کل لیست در حافظه می‌سازه. Generator expression ((...)) به صورت lazy تولید می‌کنه — بهینه برای حافظه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">کی از generator expression و کی از list comprehension استفاده می‌کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Generator برای دنباله‌های بزرگ/بی‌نهایت، زنجیر کردن، محدودیت حافظه. List برای داده‌های کوچک، نیاز به دسترسی تصادفی/len/index.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور مجموع مربعات رو با generator expression بگیریم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">sum(x**2 for x in range(10)) — نیازی به براکت اضافی نیست وقتی تنها آرگومان هست.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">سینتکس lambda چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">lambda args: expression — فقط یک expression، statement نمی‌گیره.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">lambda با آرگومان پیش‌فرض؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">lambda a, b=2: a * b — پیش‌فرض‌ها در زمان تعریف ارزیابی می‌شن.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مورد استفاده رایج lambda؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">توابع key=: sorted(items, key=lambda x: x[1]) یا callbackهای map/filter.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">مشکل late-binding در lambdaهای داخل حلقه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">funcs = [lambda: i for i in range(3)] → همه ۲ برمی‌گردونن. راه‌حل: lambda i=i: i مقدار رو به عنوان پیش‌فرض bind می‌کنه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">کی def رو به lambda ترجیح میدیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تابع نام‌گذاری شده لازم باشه، چند statement، recursion، docstring/type hint، خواناتر باشه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">map(func, iterable) چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">iterator برمی‌گردونه که func رو روی هر item اعمال می‌کنه: list(map(str.upper, ["a", "b"])) → ["A", "B"].</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">filter(func, iterable) چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">iterator از itemهایی که func Truthy برمی‌گردونه: list(filter(lambda x: x>5, range(10))) → [6,7,8,9].</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">functools.reduce(func, iterable) چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تابع دودویی رو به صورت تجمعی اعمال می‌کنه: reduce(lambda a,b: a+b, [1,2,3]) → 6. با initializer: reduce(add, [], 0) → 0.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">functools.partial برای چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">فیکس کردن برخی آرگومان‌ها: square = partial(pow, exp=2) → square(5) = 25.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">itertools.count چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">شمارنده بی‌نهایت: zip(count(), ['a','b']) → [(0,'a'), (1,'b')].</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">itertools.cycle چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تکرار بی‌نهایت: islice(cycle([1,2]), 5) → [1,2,1,2,1].</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">itertools.islice چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">برش دادن iterator: islice(range(100), 5, 15) → [5..14] بدون ساختن لیست کامل.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">itertools.chain چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">الحاق iterables: chain([1,2], [3,4]) → [1,2,3,4]. chain.from_iterable(matrix) صاف می‌کنه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت product، permutations، combinations؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">product = Cartesian product (مرتب، با replacement). permutations = مرتب، بدون replacement. combinations = نامرتب، بدون replacement.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">itertools.groupby چه پیش‌نیازی داره؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ورودی باید بر اساس کلید grouping سورت شده باشه. itemهای متوالی با کلید یکسان رو گروه‌بندی می‌کنه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">operator.itemgetter چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">callable برمی‌گردونه که item رو با index/key استخراج می‌کنه: itemgetter(1)(["a","b"]) → "b". برای استخراج ساده معمولاً از lambda واضح‌تره.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">operator.attrgetter چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">attribute استخراج می‌کنه: attrgetter("age")(person) → person.age. با sorted(key=) استفاده می‌شه.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">operator.methodcaller چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">متد رو با نام صدا میزنه: methodcaller("upper")("hi") → "HI". methodcaller("replace"," ","-")("a b") → "a-b".</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور با dict comprehension بر اساس کلید گروه‌بندی کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">{k: [v for k2,v in data if k2==k] for k in set(k for k,_ in data)} — برای داده‌های بزرگ ناکارآمد.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">روش بهتر گروه‌بندی — itertools.groupby؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">اول سورت کن، بعد {k: [v for _,v in g] for k,g in groupby(sorted_data, key=lambda x: x[0])}.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">توابع محاسبه‌ای operator کدوم‌ان؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">add(a,b), mul(a,b), sub(a,b), truediv(a,b) — با reduce: reduce(add, [1,2,3]) → 6.</div>	domain::python course::python_fundamentals section::فصل_۶_comprehensions_lambda_وابع_فانکشنال
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">تفاوت module و package چیست؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Module = فایل .py تکی. Package = دایرکتوری با __init__.py (یا namespace package در PEP 420) که ماژول/زیرپکیج داره.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">__init__.py کی اجرا می‌شه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">وقتی package یا هر submodule اون **اولین بار** import می‌شه. یک بار در هر session interpreter.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">__all__ در __init__.py چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">API عمومی برای `from package import *` تعریف می‌کنه. نام‌های export شده رو لیست می‌کنه. مستندسازی interface هم هست.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Absolute vs relative imports -- کدوم ترجیح داده می‌شه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Absolute imports (PEP 8) -- غیرابهام، همه‌جا کار می‌کنن. Relative imports فقط داخل package کار می‌کنن.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">سینتکس relative import؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`from . import module` (همین package)، `from .. import module` (package والد)، `from ..sub import func`.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Namespace package (PEP 420) چیه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">Package **بدون** __init__.py -- چند دایرکتوری در یک namespace ادغام میشن. برای pluginها، توزیع‌های جدا.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور ماژول رو به صورت داینامیک با نام رشته‌ای import کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`importlib.import_module("json")` یا `importlib.import_module(".module_a", package="mypackage")` برای relative.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور ماژول رو بعد از ویرایش reload کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`importlib.reload(module)` -- کد ماژول دوباره اجرا می‌شه، sys.modules آپدیت می‌شه.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور ماژول رو از مسیر فایل لود کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`spec = importlib.util.spec_from_file_location("name", "/path/to/file.py"); module = importlib.util.module_from_spec(spec); spec.loader.exec_module(module)`</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور فایل داده‌ای داخل package رو بخونیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`importlib.resources.files("pkg.data").joinpath("file.json").read_text()` (Python 3.9+). باینری: `.read_bytes()`.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">pkgutil.get_data() چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">روش قدیمی خواندن داده package به صورت bytes: `pkgutil.get_data("mypackage", "data/config.json")`.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">runpy.run_module() چیکار می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">ماژول رو به عنوان __main__ اجرا می‌کنه (مثل `python -m module`). `runpy.run_module("mymodule", run_name="__main__")`.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">پایتون چطور ماژول‌ها رو پیدا می‌کنه؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">در sys.path جستجو می‌کنه: ۱) دایرکتوری اسکریپت، ۲) PYTHONPATH، ۳) کتابخانه استاندارد، ۴) site-packages.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">چطور در runtime دایرکتوری به مسیر جستجو اضافه کنیم؟</div>	<div dir="rtl" style="text-align:right;font-family:Tahoma,Arial,sans-serif">`sys.path.insert(0, "/custom/path")` -- اما ترجیحا virtual env + `pip install -e .` استفاده کن.</div>	domain::python course::python_fundamentals section::فصل_۷_modules_packages_imports
